id,common_name,scientific_name,kingdom_group,category,subcategory,season,habitat,description,edibility,medicinal_uses,warning,conservation_status,image_search,image_url
natterjack-toad,Natterjack Toad,Epidalea calamita,Fauna,Amphibian,Rare toad,Spring-summer breeding,"Coastal dunes and shallow pools, mainly Kerry","Ireland’s only native toad, with yellow stripe down the back and loud call.",N/A,N/A,Highly protected; do not disturb breeding pools.,"Rare and protected, mainly southwest",Epidalea calamita,
smooth-newt,Smooth Newt,Lissotriton vulgaris,Fauna,Amphibian,Newt,Spring breeding,"Ponds, wetlands, damp gardens, ditches","Ireland’s only native newt, breeding in ponds then living on land.",N/A,N/A,Do not collect; protect pond habitat,Protected; local distribution,Lissotriton vulgaris,
earthworm,Earthworm,Lumbricus terrestris,Fauna,Annelid,Soil invertebrate,All year; surface after rain,"Soil, lawns, gardens, fields",Large worm that aerates soil and recycles organic matter.,N/A,N/A,Avoid unnecessary pesticide/chemical use.,Vital soil organism,Lumbricus terrestris,
garden-spider,Garden Spider,Araneus diadematus,Fauna,Arachnid,Spider,Late summer-autumn most visible,"Gardens, hedgerows, woodland edges","Orb-weaving spider with pale cross markings, common in autumn gardens.",N/A,N/A,Harmless to observe; avoid destroying webs unnecessarily.,Common,Araneus diadematus,
raft-spider,Raft Spider,Dolomedes fimbriatus,Fauna,Arachnid,Wetland spider,Spring-autumn,"Bogs, fens, marshes, pond margins",Large spider that hunts on water surfaces and wet vegetation.,N/A,N/A,Wetlands are fragile; observe from paths.,Local wetland species,Dolomedes fimbriatus,
common-woodlouse,Common Woodlouse,Oniscus asellus,Fauna,Crustacean,Terrestrial isopod,All year,"Under logs, stones, leaf litter, gardens",Grey land crustacean helping break down dead plant material.,N/A,N/A,Return logs/stones as found.,Common decomposer,Oniscus asellus,
atlantic-mackerel,Atlantic Mackerel,Scomber scombrus,Fauna,Fish,Marine fish,Summer-autumn near shore,"Coastal waters, piers, bays, offshore shoals",Fast-swimming shoaling fish with blue-green striped back.,N/A,N/A,Follow sea-angling safety and local regulations.,Common seasonal coastal fish,Scomber scombrus,
atlantic-salmon,Atlantic Salmon,Salmo salar,Fauna,Fish,Migratory fish,Runs vary by river; spring-autumn,"Rivers, estuaries, Atlantic waters","Iconic migratory fish born in rivers, growing at sea, returning to spawn.",N/A,N/A,Fishing is regulated; follow local licences and seasons,Conservation concern in many rivers,Salmo salar,
basking-shark,Basking Shark,Cetorhinus maximus,Fauna,Fish,Large shark,Spring-summer sightings,"Coastal plankton-rich waters, west and south coasts",Huge gentle plankton-feeding shark often seen at the surface.,N/A,N/A,Protected in Irish waters; keep distance from boats and swimmers.,Protected species,Cetorhinus maximus,
brown-trout,Brown Trout,Salmo trutta,Fauna,Fish,Freshwater fish,All year; spawning autumn-winter,"Rivers, streams, lakes","Native salmonid with variable markings, prized by anglers and wildlife watchers.",N/A,N/A,Fishing seasons and licences apply,Widespread but dependent on clean water,Salmo trutta,
european-eel,European Eel,Anguilla anguilla,Fauna,Fish,Migratory fish,All year; migration seasonal,"Rivers, lakes, estuaries, coastal waters",Long-lived migratory fish with extraordinary oceanic life cycle.,N/A,N/A,Fishing is heavily regulated; conservation concern.,Critically endangered in Europe,Anguilla anguilla,
european-perch,European Perch,Perca fluviatilis,Fauna,Fish,Freshwater fish,All year,"Lakes, canals, slow rivers",Striped predatory fish with spiny dorsal fin.,N/A,N/A,Angling regulations apply.,Widespread freshwater fish,Perca fluviatilis,
flounder,Flounder,Platichthys flesus,Fauna,Fish,Estuarine fish,All year,"Estuaries, lower rivers, sandy coastal shallows",Flatfish that can move between salt and fresh water.,N/A,N/A,Fishing regulations and water quality apply.,Widespread around coasts/estuaries,Platichthys flesus,
northern-pike,Northern Pike,Esox lucius,Fauna,Fish,Freshwater predator,All year,"Lakes, slow rivers, canals, wetlands",Large predatory freshwater fish with long jaws and ambush hunting style.,N/A,N/A,Angling regulations apply; handle fish responsibly.,Widespread in freshwater systems,Esox lucius,
three-spined-stickleback,Three-spined Stickleback,Gasterosteus aculeatus,Fauna,Fish,Small fish,All year; breeding spring-summer,"Streams, ponds, ditches, estuaries",Tiny fish with spines; males build nests and guard young.,N/A,N/A,Do not move fish between waters.,Common in many waters,Gasterosteus aculeatus,
blue-tailed-damselfly,Blue-tailed Damselfly,Ischnura elegans,Fauna,Insect,Damselfly,May-Sep,"Ponds, canals, slow rivers, ditches",Slender damselfly with a bright blue segment near tail end.,N/A,N/A,Avoid damaging emergent vegetation.,Common near water,Ischnura elegans,
buff-tailed-bumblebee,Buff-tailed Bumblebee,Bombus terrestris,Fauna,Insect,Bee,Feb-Oct; queens early,"Gardens, farmland, parks, hedgerows","Large common bumblebee with buff tail, often one of the first bees seen in spring.",N/A,N/A,Avoid pesticides; provide flowers across seasons.,Common pollinator,Bombus terrestris,
cinnabar-moth,Cinnabar Moth,Tyria jacobaeae,Fauna,Insect,Moth,Adults May-Jul; caterpillars summer,Grassland and ragwort patches,Black-and-red moth; yellow-black caterpillars feed on ragwort.,N/A,N/A,Ragwort is toxic to livestock but important to this moth; manage carefully.,Common/local,Tyria jacobaeae,
common-blue-butterfly,Common Blue Butterfly,Polyommatus icarus,Fauna,Insect,Butterfly,May-Sep,"Grassland, dunes, road verges, trefoil-rich areas",Small blue butterfly linked with bird's-foot trefoil and other legumes.,N/A,N/A,Avoid mowing all wildflower areas at once.,Common where food plants occur,Polyommatus icarus,
common-darter,Common Darter,Sympetrum striolatum,Fauna,Insect,Dragonfly,Jul-Oct,"Ponds, lakes, ditches, wetlands",Small red/brown dragonfly often perching on paths and vegetation.,N/A,N/A,Protect pond margins.,Common dragonfly,Sympetrum striolatum,
common-wasp,Common Wasp,Vespula vulgaris,Fauna,Insect,Wasp,Spring-autumn,"Gardens, woodland, buildings, hedgerows","Social wasp, predatory on insects and attracted to sweet foods in late summer.",N/A,N/A,Stings; be careful around nests and allergic reactions.,Common native insect,Vespula vulgaris,
devil-s-coach-horse-beetle,Devil's Coach-horse Beetle,Ocypus olens,Fauna,Insect,Beetle,Mar-Oct,"Gardens, woodland, hedgerows, under stones",Large black beetle that raises its abdomen like a scorpion when threatened.,N/A,N/A,Can nip defensively; observe only.,Common,Ocypus olens,
emperor-dragonfly,Emperor Dragonfly,Anax imperator,Fauna,Insect,Dragonfly,Jun-Sep,"Ponds, lakes, canals, slow rivers",Large blue-green dragonfly patrolling ponds and lakes in summer.,N/A,N/A,Observe around water safely,Increasingly recorded in Ireland,Anax imperator,
garden-bumblebee,Garden Bumblebee,Bombus hortorum,Fauna,Insect,Bee,Spring-autumn,"Gardens, meadows, hedgerows","Long-tongued bumblebee with white tail, feeding on deep flowers.",N/A,N/A,Protect nesting sites and flower diversity.,Common/local pollinator,Bombus hortorum,
green-tiger-beetle,Green Tiger Beetle,Cicindela campestris,Fauna,Insect,Beetle,Apr-Sep,"Sandy paths, heath, dunes, open ground",Metallic green fast-running beetle hunting small insects on sunny bare ground.,N/A,N/A,Avoid trampling sensitive sandy/heath habitats.,Widespread/local,Cicindela campestris,
green-veined-white,Green-veined White,Pieris napi,Fauna,Insect,Butterfly,Apr-Sep,"Hedgerows, damp meadows, woodland rides",White butterfly with greenish veins on underside of wings.,N/A,N/A,Protect wild crucifer food plants.,Common butterfly,Pieris napi,
honey-bee,Honey Bee,Apis mellifera,Fauna,Insect,Bee,Spring-autumn,"Gardens, orchards, farmland, hives, wild flowers","Social bee kept in hives and also present in feral colonies, important in pollination.",N/A,N/A,Do not disturb swarms; contact a beekeeper if needed.,Managed and feral populations,Apis mellifera,
marsh-fritillary,Marsh Fritillary,Euphydryas aurinia,Fauna,Insect,Butterfly,May-Jun adults,"Wet grassland, fens, damp meadows, limestone grassland",Patterned orange-brown butterfly linked with devil's-bit scabious and species-rich grassland.,N/A,N/A,Fragile habitats; avoid trampling colonies,Protected under EU Habitats Directive; conservation priority,Euphydryas aurinia,
mayfly,Mayfly,Ephemera danica,Fauna,Insect,Aquatic insect,May-Jul adult emergence,"Clean rivers, lakes, streams",Large mayfly whose brief adult life is famous among anglers and river watchers.,N/A,N/A,Good water quality is essential.,Indicator of freshwater ecosystems,Ephemera danica,
orange-tip-butterfly,Orange-tip Butterfly,Anthocharis cardamines,Fauna,Insect,Butterfly,Apr-Jun,"Damp meadows, hedgerows, lanes, cuckooflower patches","Spring butterfly; males have orange wing tips, caterpillars use cuckooflower and garlic mustard.",N/A,N/A,Protect larval food plants.,Common spring butterfly,Anthocharis cardamines,
peacock-butterfly,Peacock Butterfly,Aglais io,Fauna,Insect,Butterfly,Mar-Oct; hibernates as adult,"Gardens, nettle patches, woodland edges",Colourful butterfly with eye-spots on its wings; caterpillars feed on nettles.,N/A,N/A,Do not remove caterpillar food plants unnecessarily,Widespread; benefits from nettles and nectar plants,Aglais io,
pond-skater,Pond Skater,Gerris lacustris,Fauna,Insect,Aquatic bug,Spring-autumn,"Ponds, slow streams, ditches",Long-legged insect skating on the water surface using surface tension.,N/A,N/A,Do not pollute ponds; observe gently.,Common freshwater invertebrate,Gerris lacustris,
red-admiral,Red Admiral,Vanessa atalanta,Fauna,Insect,Butterfly,Mostly summer-autumn; some overwinter,"Gardens, orchards, ivy, nettles, coasts","Large black-red butterfly, migratory and often seen on autumn fruit and ivy.",N/A,N/A,Leave nectar and fruit sources.,Common migrant/resident in mild years,Vanessa atalanta,
red-tailed-bumblebee,Red-tailed Bumblebee,Bombus lapidarius,Fauna,Insect,Bee,Spring-autumn,"Gardens, grassland, walls, farmland","Black bumblebee with red tail, often nesting in cavities or walls.",N/A,N/A,Avoid disturbing nests.,Common pollinator,Bombus lapidarius,
seven-spot-ladybird,Seven-spot Ladybird,Coccinella septempunctata,Fauna,Insect,Beetle,Spring-autumn; hibernates winter,"Gardens, hedgerows, grassland",Familiar red ladybird with seven black spots; eats aphids.,N/A,N/A,Do not use pesticides unnecessarily.,Common beneficial insect,Coccinella septempunctata,
six-spot-burnet,Six-spot Burnet,Zygaena filipendulae,Fauna,Insect,Day-flying moth,Jun-Aug,"Flowery grassland, dunes, road verges","Metallic black day-flying moth with six red spots, often on knapweed or thistles.",N/A,N/A,Protect species-rich grassland.,Common in suitable habitats,Zygaena filipendulae,
small-tortoiseshell,Small Tortoiseshell,Aglais urticae,Fauna,Insect,Butterfly,Mar-Oct; hibernates as adult,"Gardens, nettle patches, meadows",Colourful butterfly whose caterpillars feed on nettles.,N/A,N/A,Leave some nettles for caterpillars.,Common but variable,Aglais urticae,
water-boatman,Water Boatman,Corixa punctata,Fauna,Insect,Aquatic bug,All year,"Ponds, ditches, slow water",Small aquatic bug swimming with oar-like legs.,N/A,N/A,Return pond-dipping animals carefully.,Common freshwater invertebrate,Corixa punctata,
european-badger,Badger,Meles meles,Fauna,Mammal,Mustelid,All year; mostly nocturnal,"Woodland, hedgerows, farmland, scrub","Powerful nocturnal mammal with black-and-white striped face, living in setts.",N/A,N/A,Do not disturb setts; protected species,Widespread; protected,Meles meles,
bank-vole,Bank Vole,Myodes glareolus,Fauna,Mammal,Small rodent,All year,"Hedgerows, woodland, grassy banks",Small chestnut-brown vole established in parts of Ireland.,N/A,N/A,Observe only; wild rodents can carry disease.,Introduced but established,Myodes glareolus,
brown-rat,Brown Rat,Rattus norvegicus,Fauna,Mammal,Rodent,All year,"Farms, towns, waterways, sewers, coasts",Adaptable rodent often near human settlements and waterways.,N/A,N/A,Do not handle; disease risk; use humane/legal control if needed.,Widespread introduced species,Rattus norvegicus,
common-pipistrelle,Common Pipistrelle,Pipistrellus pipistrellus,Fauna,Mammal,Bat,Apr-Oct active; winter hibernation,"Hedgerows, gardens, rivers, buildings, woodland edge",Tiny bat often seen flickering around dusk feeding on insects.,N/A,N/A,All bats and roosts are protected; never disturb a roost,Protected resident bat,Pipistrellus pipistrellus,
daubenton-s-bat,Daubenton's Bat,Myotis daubentonii,Fauna,Mammal,Bat,Apr-Oct active,"Rivers, canals, lakes, bridges, trees",Bat that skims low over water catching insects with feet and tail membrane.,N/A,N/A,Avoid disturbing bridge/tree roosts.,Resident bat; waterway specialist,Myotis daubentonii,
fallow-deer,Fallow Deer,Dama dama,Fauna,Mammal,Deer,All year; rut autumn,"Parks, estates, woodland, farmland edges",Medium deer with spotted coat in summer and palmate antlers in males.,N/A,N/A,"Keep distance, especially during rut and near roads.",Introduced/managed species in many areas,Dama dama,
grey-squirrel,Grey Squirrel,Sciurus carolinensis,Fauna,Mammal,Introduced rodent,All year,"Parks, broadleaf woodland, gardens",Introduced squirrel that competes with red squirrels and can carry squirrelpox.,N/A,N/A,Do not feed; avoid supporting spread in red squirrel areas.,Invasive/non-native; widespread in many areas,Sciurus carolinensis,
hedgehog,Hedgehog,Erinaceus europaeus,Fauna,Mammal,Insectivore,Mar-Nov; hibernates winter,"Gardens, hedgerows, grassland, parks",Spiny nocturnal mammal that eats invertebrates and uses garden corridors.,N/A,N/A,Do not give milk; check before mowing/strimming or lighting bonfires,Widespread but declining in many places,Erinaceus europaeus,
irish-hare,Irish Hare,Lepus timidus hibernicus,Fauna,Mammal,Lagomorph,All year; boxing in spring,"Grassland, uplands, bogs, dunes, farmland","Ireland’s native hare, larger than a rabbit with long legs and black-tipped ears.",N/A,N/A,"Observe from distance, especially in breeding season",Native subspecies; protected under wildlife legislation,Lepus timidus hibernicus,
irish-stoat,Irish Stoat,Mustela erminea hibernica,Fauna,Mammal,Mustelid,All year,"Hedgerows, stone walls, farmland, woodland edge","Small swift predator, brown above and pale below, with black tail tip.",N/A,N/A,Do not trap or interfere,Native subspecies; protected,Mustela erminea hibernica,
leisler-s-bat,Leisler's Bat,Nyctalus leisleri,Fauna,Mammal,Bat,Apr-Oct active,"Towns, parks, woodland edges, open sky",Large Irish bat often flying high and early in the evening.,N/A,N/A,All bats and roosts are protected.,Widespread resident bat,Nyctalus leisleri,
lesser-horseshoe-bat,Lesser Horseshoe Bat,Rhinolophus hipposideros,Fauna,Mammal,Bat,Apr-Oct active; winter hibernation,"Old buildings, caves, woodland edge, west of Ireland","Small bat with horseshoe-shaped noseleaf, associated with traditional roosts.",N/A,N/A,All bats and roosts are protected; never disturb roosts.,Protected; Irish range mainly west/southwest,Rhinolophus hipposideros,
otter,Otter,Lutra lutra,Fauna,Mammal,Semi-aquatic mustelid,All year,"Rivers, lakes, coasts, wetlands",Sleek fish-eating mammal leaving spraints and slides near water.,N/A,N/A,Do not disturb holts; protected species,Protected; key indicator of healthy waterways,Lutra lutra,
pine-marten,Pine Marten,Martes martes,Fauna,Mammal,Mustelid,All year,"Woodland, scrub, rocky areas, old buildings","Agile native mammal with creamy bib, recovering in parts of Ireland.",N/A,N/A,Do not feed; secure poultry and bins if needed,Protected; recovery success story but still local,Martes martes,
pygmy-shrew,Pygmy Shrew,Sorex minutus,Fauna,Mammal,Small insectivore,All year,"Grassland, hedgerows, woodland, gardens","Tiny native shrew with pointed snout, feeding on insects and invertebrates.",N/A,N/A,Rarely seen; do not handle.,Native resident,Sorex minutus,
rabbit,Rabbit,Oryctolagus cuniculus,Fauna,Mammal,Lagomorph,All year,"Grassland, dunes, farmland, parks",Burrowing mammal with white tail flash; long naturalised in Ireland.,N/A,N/A,Do not handle wild rabbits; disease risk.,Widespread introduced/long-established species,Oryctolagus cuniculus,
red-deer,Red Deer,Cervus elaphus,Fauna,Mammal,Deer,All year; rut Sep-Nov,"Woodland, mountains, open moorland",Ireland’s largest land mammal; stags roar during the autumn rut.,N/A,N/A,"Keep distance, especially during rut and calving",Native populations mixed with introduced stock in some regions,Cervus elaphus,
red-fox,Red Fox,Vulpes vulpes,Fauna,Mammal,Carnivore,All year,"Farmland, woodland, towns, coastal areas",Adaptable wild canid with reddish coat and bushy tail; often active at dusk or night.,N/A,N/A,Do not feed or approach; can carry parasites,Widespread resident,Vulpes vulpes,
red-squirrel,Red Squirrel,Sciurus vulgaris,Fauna,Mammal,Rodent,All year,"Conifer and mixed woodland, parks","Native squirrel with tufted ears, threatened by grey squirrel competition and disease.",N/A,N/A,Observe quietly; do not feed processed foods,Native; locally recovering where pine martens reduce grey squirrels,Sciurus vulgaris,
sika-deer,Sika Deer,Cervus nippon,Fauna,Mammal,Deer,All year; rut autumn,"Woodland, uplands, plantations",Introduced deer that can hybridise with red deer in some areas.,N/A,N/A,Keep distance; deer collisions are road hazards.,Introduced; management concern in some regions,Cervus nippon,
soprano-pipistrelle,Soprano Pipistrelle,Pipistrellus pygmaeus,Fauna,Mammal,Bat,Apr-Oct active,"Wetlands, rivers, gardens, woodland edge",Tiny bat often linked with waterside insect-rich habitats.,N/A,N/A,Do not disturb roosts; protected.,Common resident bat,Pipistrellus pygmaeus,
wood-mouse,Wood Mouse,Apodemus sylvaticus,Fauna,Mammal,Small rodent,All year,"Woodland, hedgerows, gardens, fields",Large-eyed native mouse active at night and important prey for owls and mammals.,N/A,N/A,Avoid handling wild rodents.,Common resident,Apodemus sylvaticus,
blue-mussel,Blue Mussel,Mytilus edulis,Fauna,Marine invertebrate,Mollusc,All year,"Rocky shores, piers, mussel beds, estuaries",Dark bivalve forming dense beds on rocks and ropes.,"Edible only from safe, legal, monitored waters",Traditional seafood; not medicine,Shellfish poisoning risk; never gather from unmonitored waters.,Common and ecologically important,Mytilus edulis,
common-periwinkle,Common Periwinkle,Littorina littorea,Fauna,Marine invertebrate,Mollusc,All year,Rocky shores and seaweed-covered rocks,Small edible sea snail grazing algae on the shore.,"Edible only from safe, legal shores",Traditional coastal food; not medicine,Shellfish/shore gathering safety applies.,Common rocky shore species,Littorina littorea,
common-shore-crab,Common Shore Crab,Carcinus maenas,Fauna,Marine invertebrate,Crab,All year,"Rock pools, estuaries, sheltered shores",Common green-brown crab found under stones and in rock pools.,N/A,N/A,Return rock-pool animals carefully; watch fingers.,Common shore species,Carcinus maenas,
edible-crab,Edible Crab,Cancer pagurus,Fauna,Marine invertebrate,Crab,All year,"Rocky seabed, lower shore, coastal waters","Large brown crab with pie-crust shell edge, common around Irish coasts.",N/A,N/A,Shellfish gathering has regulations and food-safety risks.,Common marine species,Cancer pagurus,
lion-s-mane-jellyfish,Lion's Mane Jellyfish,Cyanea capillata,Fauna,Marine invertebrate,Jellyfish,Summer-autumn,"Coastal waters, beaches, bays",Large jellyfish with long trailing tentacles and painful sting.,N/A,N/A,"Do not touch, even stranded; stings can be painful.",Regular marine species,Cyanea capillata,
bottlenose-dolphin,Bottlenose Dolphin,Tursiops truncatus,Fauna,Marine mammal,Dolphin,"All year on west coast, variable elsewhere","Coastal waters, bays, estuaries, offshore waters","Powerful social dolphin seen from headlands and boats, especially along western coasts.",N/A,N/A,Follow wildlife-watching codes; do not chase by boat,Protected marine mammal,Tursiops truncatus,
common-seal,Common Seal,Phoca vitulina,Fauna,Marine mammal,Seal,All year; pups summer,"Sheltered bays, estuaries, sandbanks",Smaller rounded-headed seal often seen in estuaries and sheltered coasts.,N/A,N/A,View from distance; do not disturb haul-outs,Protected marine mammal,Phoca vitulina,
grey-seal,Grey Seal,Halichoerus grypus,Fauna,Marine mammal,Seal,All year; pups autumn,"Rocky coasts, islands, sandbanks","Large seal with long muzzle, often hauled out on rocks or beaches.",N/A,N/A,Keep dogs away and never approach pups,Protected marine mammal,Halichoerus grypus,
harbour-porpoise,Harbour Porpoise,Phocoena phocoena,Fauna,Marine mammal,Porpoise,All year,"Coastal waters, bays, headlands","Small shy cetacean, often seen as a brief rolling fin at sea.",N/A,N/A,Observe from distance; follow marine wildlife codes.,Protected marine mammal,Phocoena phocoena,
minke-whale,Minke Whale,Balaenoptera acutorostrata,Fauna,Marine mammal,Whale,Mostly summer-autumn sightings,"Atlantic coastal waters, offshore",Small baleen whale sometimes seen from Irish headlands and boats.,N/A,N/A,Do not approach closely by boat.,Protected marine mammal,Balaenoptera acutorostrata,
leatherback-turtle,Leatherback Turtle,Dermochelys coriacea,Fauna,Marine reptile,Sea turtle,Summer-autumn rare sightings,Offshore and coastal waters with jellyfish,Large oceanic turtle occasionally recorded in Irish waters.,N/A,N/A,Report sightings; do not interfere.,Protected; occasional visitor,Dermochelys coriacea,
garden-snail,Garden Snail,Cornu aspersum,Fauna,Mollusc,Land snail,"Spring-autumn, damp weather","Gardens, walls, hedgerows",Common brown garden snail active in damp weather.,N/A,N/A,Wash hands after handling; can carry parasites.,Common introduced/established species,Cornu aspersum,
kerry-slug,Kerry Slug,Geomalacus maculosus,Fauna,Mollusc,Protected slug,Mild wet weather,"Atlantic oakwoods, sandstone rocks, west/southwest Ireland",Spotted slug associated with humid Atlantic habitats and old woodland.,N/A,N/A,Protected; do not disturb or collect.,Protected species of international importance,Geomalacus maculosus,
common-lizard,Common Lizard,Zootoca vivipara,Fauna,Reptile,Lizard,Mar-Oct on warm days,"Bog, heath, dunes, stone walls, grassland","Ireland’s only native reptile, basking on sunny banks and logs.",N/A,N/A,Observe only; do not handle,Native and protected,Zootoca vivipara,
bog-asphodel,Bog Asphodel,Narthecium ossifragum,Flora,Bog plant,Bog wildflower,Jun-Aug,"Bogs, wet heaths, acidic moorland","Yellow starry bog flower, often turning orange later in season.",Not edible,No home medicinal use,Can be associated with livestock photosensitisation; do not ingest.,Common bog/heath plant,Narthecium ossifragum,
common-cottongrass,Common Cottongrass,Eriophorum angustifolium,Flora,Bog plant,Bog sedge,May-Jul,"Bogs, wet heaths, acidic flushes",White cottony seed heads waving over bog pools and wet ground.,Not edible,No home medicinal use,Bog surfaces can be dangerous; avoid damaging peatlands.,Common bog species,Eriophorum angustifolium,
round-leaved-sundew,Round-leaved Sundew,Drosera rotundifolia,Flora,Bog plant,Carnivorous plant,Jun-Aug,"Bogs, wet heaths, sphagnum lawns",Tiny carnivorous plant with sticky red-tipped leaves that trap insects.,Not edible,Historic cough remedy; not medical advice,Do not pick; grows in fragile bog habitat.,Native bog specialist,Drosera rotundifolia,
sphagnum-moss,Sphagnum Moss,Sphagnum spp.,Flora,Bog plant,Moss,All year,"Raised bogs, blanket bogs, wet heath",A bog-building moss that holds water and helps form peatlands.,Not edible,Historically used as absorbent dressing material; not medical advice,Bog habitats are fragile; do not remove from protected sites,Vital peatland species; bog conservation priority,Sphagnum,
bog-myrtle,Bog Myrtle,Myrica gale,Flora,Bog shrub,Wetland aromatic shrub,Apr-Sep,"Bogs, wet heaths, lake margins","Aromatic shrub of wet acidic habitats, with resinous leaves.",Not a regular edible; caution,Traditional insect-repellent and flavouring uses; not medical advice,Avoid use during pregnancy or without expert knowledge,Local; associated with wetland habitats,Myrica gale,
butterwort,Butterwort,Pinguicula vulgaris,Flora,Bog/wetland plant,Carnivorous plant,May-Jul,"Wet heaths, flushes, bogs, damp rocks",Small carnivorous plant with greasy leaves and violet flowers.,Not edible,Traditional milk-curdling folklore; not medical advice,Do not pick; sensitive wetland habitats.,Local native species,Pinguicula vulgaris,
honeysuckle,Honeysuckle,Lonicera periclymenum,Flora,Climber,Native woodland climber,Jun-Sep,"Hedgerows, woodland, scrub","Sweet-scented twining climber, important for moths and woodland insects.",Berries not edible,Traditional external/folklore uses; not medical advice,Berries can be toxic; do not eat.,Native; valuable nectar plant,Lonicera periclymenum,
ivy,Ivy,Hedera helix,Flora,Climber,Evergreen climber,Flowers Sep-Nov; berries winter,"Trees, walls, woodland, hedgerows",Evergreen climber with late flowers that feed insects and winter berries for birds.,Not edible; berries toxic,"Traditional external uses existed, but not recommended",Berries and leaves can be harmful if eaten; sap may irritate skin,Common; important late nectar source,Hedera helix,
marram-grass,Marram Grass,Ammophila arenaria,Flora,Coastal grass,Dune stabiliser,All year,"Sand dunes, beaches","Tough grass that traps sand and builds dunes, crucial for coastal protection.",Not edible,No home medicinal use,Dunes are fragile; keep to paths where signed.,Common and important dune species,Ammophila arenaria,
rock-samphire,Rock Samphire,Crithmum maritimum,Flora,Coastal plant,Wild edible coastal herb,May-Oct,"Sea cliffs, rocks, coastal walls",Fleshy aromatic coastal plant with yellow-green flower umbels.,Edible with caution when confidently identified,Traditional pickle plant; not medical advice,Do not confuse with unrelated plants; cliffs are dangerous; respect protected sites,Local coastal plant,Crithmum maritimum,
sea-beet,Sea Beet,Beta vulgaris subsp. maritima,Flora,Coastal plant,Wild edible coastal green,Apr-Oct,"Coastal shingle, sea walls, strandlines",Wild relative of beetroot and chard with glossy leaves.,Edible when confidently identified and legally gathered,Culinary green; not medicine,Coastal pollution risk; forage sparingly,Local around coasts,Beta vulgaris subsp. maritima,
sea-holly,Sea Holly,Eryngium maritimum,Flora,Coastal plant,Dune plant,Jun-Sep,Sand dunes and shingle beaches,Blue-green spiny coastal plant with metallic-looking flower heads.,Not for casual eating,Historic candied root use; not medical advice,Often scarce and vulnerable; do not pick.,Local coastal species,Eryngium maritimum,
thrift-sea-pink,Thrift / Sea Pink,Armeria maritima,Flora,Coastal plant,Coastal wildflower,Apr-Aug,"Sea cliffs, coastal grassland, saltmarsh edges",Pink cushion-forming flower brightening Irish sea cliffs and coastal rocks.,Not a food plant,No home medicinal use,Coastal cliff habitats can be dangerous; do not pick in protected sites.,Common coastal species,Armeria maritima,
yellow-horned-poppy,Yellow Horned-poppy,Glaucium flavum,Flora,Coastal plant,Shingle plant,Jun-Sep,Shingle beaches and coastal strandlines,Grey-green coastal plant with large yellow poppy flowers and long seed pods.,Poisonous; not edible,No safe home medicinal use,Contains toxic alkaloids; avoid ingestion.,Local coastal plant,Glaucium flavum,
heather,Heather / Ling,Calluna vulgaris,Flora,Heathland plant,Upland shrub,Jul-Sep,"Bog, heath, moorland, acidic soils",Low purple-flowering shrub shaping the colour of Irish uplands and bog edges.,Not generally eaten; honey plant,Traditional use in heather tea and bedding; not medical advice,Avoid medicinal use without guidance,Common in uplands; dependent on healthy heath/bog management,Calluna vulgaris,
giant-hogweed,Giant Hogweed,Heracleum mantegazzianum,Flora,Invasive plant,Hazardous umbellifer,Jun-Aug,"Riverbanks, waste ground, damp disturbed soil",Very tall invasive plant with huge leaves and white umbels.,Not edible; hazardous,No medicinal use,Sap can cause severe burns in sunlight; avoid contact and report/control appropriately.,Invasive non-native species,Heracleum mantegazzianum,
hemlock,Hemlock,Conium maculatum,Flora,Poisonous plant,Deadly umbellifer,Jun-Aug,"Damp ground, riverbanks, waste ground, roadsides",Tall white umbellifer with purple-blotched stems and unpleasant smell.,Deadly poisonous; not edible,No safe medicinal use,Highly poisonous; avoid touching/ingesting; dangerous confusion risk.,Local but widespread,Conium maculatum,
bladderwrack,Bladderwrack,Fucus vesiculosus,Flora,Seaweed,Brown seaweed,All year,"Rocky shores, intertidal zone","Brown seaweed with paired air bladders, common on Irish rocky shores.",Edible/usable with expert guidance; iodine caution,Traditional seaweed use; not medical advice,"High iodine; avoid medicinal use, thyroid issues, polluted shores.",Common intertidal seaweed,Fucus vesiculosus,
carrageen-moss,Carrageen Moss,Chondrus crispus,Flora,Seaweed,Red seaweed,All year,"Rocky shores, lower intertidal",Small red seaweed used traditionally to set puddings and drinks.,Edible when correctly identified and properly prepared,Traditional soothing drink ingredient; not medical advice,Avoid polluted shores; iodine/mineral caution.,Common in suitable shore habitats,Chondrus crispus,
dulse,Dulse,Palmaria palmata,Flora,Seaweed,Red seaweed,All year,"Rocky shores, lower intertidal, Atlantic coasts",Red edible seaweed traditionally gathered in parts of Ireland.,Edible when correctly identified and legally gathered,Traditional food; mineral-rich; not medicine,"Check water quality, legal harvesting rules and iodine/salt intake.",Common on suitable coasts,Palmaria palmata,
kelp,Kelp,Laminaria digitata,Flora,Seaweed,Brown seaweed,All year,"Lower rocky shore, Atlantic coasts",Large brown seaweed forming underwater forests and shoreline wrack.,Edible/usable with expert guidance; iodine caution,Traditional food/fertiliser use; not medical advice,Very high iodine; avoid medicinal use and unsafe shores.,Common on exposed rocky coasts,Laminaria digitata,
